"","Symptomatic tests","Border tests 1 and 2","Quarantine- and random tests","deCODE Genetics screening"
"26.11.20","","1,25%","4,17%","0,00%"
"27.11.20","","0,82%","3,13%","0,00%"
"28.11.20","","3,54%","0,00%","0,00%"
"29.11.20","","0,54%","3,13%","0,00%"
"30.11.20","","1,68%","1,55%","0,00%"
"01.12.20","","1,04%","1,38%","0,00%"
"02.12.20","","1,17%","2,87%","0,00%"
"03.12.20","","1,47%","7,69%","0,00%"
"04.12.20","","0,66%","0,70%","0,00%"
"05.12.20","","1,37%","4,00%","0,00%"
"06.12.20","","1,27%","10,26%","0,00%"
"07.12.20","","1,75%","1,79%","0,00%"
"08.12.20","","2,86%","1,02%",""
"09.12.20","","0,57%","0,00%",""
"10.12.20","","1,81%","10,61%","8,33%"
"11.12.20","","1,33%","6,25%","0,00%"
"12.12.20","","0,77%","2,38%","0,00%"
"13.12.20","","0,65%","7,14%","0,00%"
"14.12.20","","0,82%","0,00%","0,00%"
"15.12.20","","0,90%","3,45%","0,00%"
"16.12.20","","0,89%","17,24%","0,00%"
"17.12.20","","0,55%","4,58%","0,00%"
"18.12.20","","0,80%","6,98%","0,00%"
"19.12.20","","1,69%","0,00%","0,00%"
"20.12.20","","1,34%","0,00%","0,00%"
"21.12.20","","1,12%","13,33%","0,00%"
"22.12.20","","1,21%","2,86%","0,00%"
"23.12.20","","1,94%","0,00%","0,00%"
"24.12.20","","0,99%","0,96%","0,00%"
"25.12.20","","0%","0",""
"26.12.20","","0,85%","3,54%","0,00%"
"27.12.20","","0,42%","0,00%","0,00%"
"28.12.20","","1,05%","3,57%","0,00%"
"29.12.20","","1,29%","12,50%","0,00%"
"30.12.20","","0,00%","0,00%","0,00%"
"31.12.20","","0,24%","0,00%","0,00%"
